geneNames	GSM161945	GSM161946	GSM161948	GSM161949	GSM161950	GSM161951	GSM161952	GSM161953	GSM161954	GSM161955	GSM161956	GSM161957	GSM161958	GSM161959	GSM161960	GSM161961	GSM161962	GSM161963	GSM161964	GSM161965	GSM161966	GSM161967	GSM161968	GSM161969	GSM161970	GSM161971
HTR7P1	68.7797	86.4035	74.4121	81.2409	74.1053	64.1517	79.9453	78.1922	76.8158	82.4095	85.3164	78.5532	77.3279	67.8393	79.9454	85.655	68.6201	70.0681	77.9786	65.9231	78.7811	58.2357	77.5817	73.7041	93.3705	71.7618
HTRA1	381.72	325.161	398.205	310.995	589.828	334.336	508.219	550.493	331.198	285.403	351.479	363.572	419.495	350.815	298.952	425.458	340.121	374.693	349.656	468.384	509.286	655.46	229.561	236.166	214.795	344.174
HTRA2	175.884	169.4885	163.826	165.744	166.9845	157.03	187.841	221.454	189.705	195.106	200.445	182.5445	196.2155	194.725	195.455	216.748	188.2085	194.1845	211.631	210.791	303.6815	432.009	236.6355	223.639	266.0495	227.291
HTRA3	220.0805	244.0465	168.1275	190.8655	209.8025	218.9695	200.722	201.4595	186.9775	170.2935	169.965	209.358	221.31	230.889	201.065	224.122	178.042	244.5315	203.035	230.043	186.5565	221.8265	156.605	154.795	222.4075	214.364
HTT	281.775	249.2355	263.251	288.779	281.305	311.09	280.052	302.5615	302.733	300.409	279.1105	348.95	265.9865	325.0365	272.9935	306.6105	311.267	333.2635	275.8045	302.8355	277.069	262.95	256.8655	246.8975	247.5745	254.2785
HUNK	131.177	160.609	141.534	114.637	128.156	125.72	128.479	137.034	147.435	138.259	132.994	138.781	134.576	124.679	137.307	133.65	114.501	103.609	145.034	124.757	110.584	116.509	122.598	128.515	144.409	136.907
HUS1	230.6426667	255.8493333	246.5956667	262.3766667	191.7300333	239.3156667	234.6413333	269.9116667	202.8921333	208.8987667	195.9245	201.9472	225.2603333	203.0403333	225.8203333	242.3676667	231.788	240.1932667	249.4428	250.3726667	172.2570333	195.8394333	256.6443333	233.8593333	132.2968333	291.6688333
HUWE1	4776.10825	4626.09875	4451.15275	4506.6815	4742.70325	4683.5235	4520.023	4563.932	4631.66875	4638.765	4617.648	4572.58125	4604.469	4728.7705	4722.901	4573.5345	4575.96525	4727.99875	4561.90675	4720.24675	5017.65375	4413.2155	4822.4245	4852.62	2823.87875	4462.78575
HVCN1	412.523	352.739	414.363	423.094	410.687	428.39	402.186	462.068	378.319	460.061	375.856	331.964	572.391	501.262	539.608	468.028	544.617	484.924	445.404	480.104	511.822	658.412	583.795	550.036	545.603	539.734
HYAL1	125.83	127.803	120.226	123.525	144.116	126.386	190.166	138.702	167.416	207.24	160.748	128.469	117.741	123.953	128.557	170.897	137.308	115.913	108.413	145.546	203.857	120.413	139.921	125.189	272.348	343.831
HYAL2	312.913	368.194	301.559	290.263	303.539	294.916	299.903	347.675	301.549	311.982	304.253	283.924	298.571	285.175	314.508	335.727	295.132	282.763	285.767	313.341	449.164	550.642	429.492	420.878	412.038	323.671
HYAL3	61.2852	75.5299	80.1173	73.6427	84.3695	69.7111	68.1519	68.7102	64.6546	60.4386	75.1439	77.6977	57.5975	67.2202	71.732	72.446	65.1345	58.183	81.6618	59.7046	57.7656	83.8118	73.8466	72.3298	88.5547	67.6437
HYAL4	207.44	334.859	292.616	249.548	316.183	424.544	283.05	203.236	281.325	217.713	231.668	316.191	160.403	183.559	288.745	160.856	245.719	265.043	257.234	182.627	107.165	123.364	195.834	167.262	269.264	265.105
HYI	330.1236667	461.5083333	527.6366667	487.2196667	359.678	371.5833333	469.769	302.053	445.9733333	354.176	432.9613333	519.4143333	381.1106667	355.5	300.504	342.875	327.457	355.6786667	425.4946667	396.5116667	220.6503333	258.2766667	406.845	328.1113333	390.6166667	346.214
HYLS1	116.112	128.128	126.641	123.764	129.558	116.413	123.171	120.272	132.15	131.296	123.485	127.739	128.568	119.179	110.008	127.39	130.001	106.307	126.653	135.887	230.933	97.3735	158.825	178.458	95.8421	126.716
HYMAI	144.285	163.593	158.36	127.66	143.617	126.998	134.029	161.513	138.136	142.242	136.853	145.597	140.648	123.712	94.6814	128.668	108.632	113.937	147.408	107.967	87.797	111.993	111.698	114.121	113.238	117.508
HYOU1	263.744	313.297	277.893	285.613	362.515	260.05	313.788	424.38	296.192	326.824	389.281	272.776	328.657	277.521	292.218	293.928	288.619	270.071	331.38	338.916	666.054	1793.79	402.468	397.341	301.737	373.776
HYPK	128.371	106.485	136.836	129.194	146.15	140.551	146.201	140.138	121.03	134.809	125.733	148.686	131.492	140.532	127.854	140.007	142.229	135.021	153.662	135.255	176.694	171.247	245.938	218.632	174.845	156.726
HYPM	69.5314	64.9431	75.9148	84.9736	65.7237	79.943	65.5342	54.3196	90.8107	73.9146	73.5655	74.5401	81.1511	83.0041	50.9682	68.7567	69.2457	76.9553	82.8241	78.8059	87.364	67.203	101.11	138.582	104.575	81.222
IAH1	665.876	443.476	534.2735	604.965	516.6795	533.503	799.552	622.904	576.409	655.971	629.3445	557.612	600.0255	513.8225	544.1245	515.5695	539.663	499.341	497.598	542.364	669.046	746.19	671.6595	621.0305	233.042	563.9125
IAPP	43.1944	41.0853	40.1178	35.5426	22.9101	50.665	35.802	32.9843	46.883	31.7342	39.4605	41.3073	33.5966	42.0703	45.2126	43.1291	49.9254	43.8527	43.3968	40.3937	51.0151	54.2062	79.3874	61.0253	40.8927	33.4261
IARS	1448.37	1856.45	1645.53	1614.82	1866.15	1526.86	1800.38	1833.17	1814.45	1714.23	1796.48	1698.15	1336.78	1459.31	1668.1	1510.08	1312.5	1309.8	1527.88	1541.78	3131.09	1218.99	2355.28	2300.22	250.91	1521.41
IARS2	1669.32	1845.19	1520.45	1470.79	1646.74	1492.73	1667.48	1687.45	1925.21	1606.7	1781.25	1606.83	1856.88	1561.05	1714.88	1582.75	1591.83	1495.82	1477.28	1769.73	1476.79	950.671	1243.84	1158.59	569.375	1411.36
IBA57	281.7955	305.0105	239.3925	244.435	263.723	275.2735	250.6355	280.4155	244.7655	240.387	262.7695	286.955	222.488	243.2305	228.8205	243.1305	222.78	250.97	257.2345	230.2215	147.025	229.202	190.3545	178.4725	223.965	223.6105
IBSP	332.581	285.048	311.235	318.36	293.554	352.136	279.92	305.976	304.569	302.183	329.295	406.25	292.426	316.096	290.145	300.425	268.212	301.032	257.318	292.829	236.254	256.738	309.468	294.721	297.674	271.079
IBTK	567.85005	605.5971	474.7556	487.18235	457.1651	475.8154	627.5596	499.43605	520.90655	559.3057	406.0434	477.34935	606.0809	613.03125	510.344	607.19505	533.1214	577.3472	350.6308	484.7207	262.0998	192.34475	199.1909	161.4015	86.0606	418.9344
ICA1	200.1718	179.7255883	165.7229933	157.8469967	162.0909833	174.4599117	160.8299767	175.5345833	157.5733917	158.7600167	161.0849667	192.6642417	164.4601667	190.720435	184.519065	179.088115	200.052155	191.5718667	197.6214983	177.4446683	167.1273	161.3039033	202.3224183	170.6567317	177.0077	182.8822867
ICA1L	306.155	380.5365	389.288	429.8355	300.1775	310.683	374.9375	304.53	345.3545	207.5515	274.719	321.8195	278.6265	306.4125	291.7895	460.632	332.1965	332.0955	370.737	333.4965	217.9255	158.428	414.209	286.7445	277.5335	243.4735
ICAM1	219.3855333	198.8867667	271.4713333	235.2131333	213.5842333	230.1975333	226.4813333	171.1766667	208.3053	219.5028	187.2603333	203.9586333	239.0871333	228.5342667	251.305	216.5342667	245.6795667	218.7338	255.3296667	230.7505667	223.4256667	242.1326667	300.617	289.0243333	331.863	261.442
ICAM2	382.355	381.4015	273.7785	258.3485	341.184	257.1355	345.1625	395.4185	428.1515	430.8265	337.652	393.6815	302.656	318.124	305.0845	343.0555	256.1835	288.4835	254.7215	344.1485	721.8915	1067.891	595.868	581.447	581.9865	407.818
ICAM3	260.769	288.711	234.835	254.626	254.283	249.05	300.525	311.854	229.045	281.33	275.117	335.608	285.656	301.776	325.963	337.294	250.31	321.792	271.222	338.733	196.177	162.269	330.986	279.342	668.642	376.29
ICAM4	99.6638	143.308	119.928	94.302	130.424	102.759	119.209	119.114	145.701	101.865	121.168	107.03	117.201	114.244	118.547	97.1108	82.1123	83.3044	123.391	111.254	90.8688	89.1248	105.633	102.742	151.32	114.544
ICAM5	55.5428	59.7424	63.253	64.7224	48.3843	80.0893	60.8616	64.896	64.5096	47.0923	79.0827	81.8092	50.1179	59.6685	68.7689	51.7203	60.3286	55.1303	57.9966	43.7853	57.7222	65.755	65.1633	74.0411	81.5704	61.1498
ICE1	860.487	678.093	646.118	728.988	840.317	761.396	690.149	903.193	852.344	882.452	881.098	1016.8	883.305	934.746	801.005	852.998	612.612	835.036	758.978	897.032	1651.86	1591.59	559.64	601.152	105.671	436.972
ICE2	428.6495	401.498	225.2445	354.8495	697.9305	335.118	384.4485	350.756	316.9365	327.45	362.393	290.733	425.662	522.672	547.4625	353.8585	462.8735	518.4855	309.8095	409.7935	314.11195	149.2814	149.8348	169.097	32.1033	144.10595
ICK	166.817	119.666	102.779	132.648	123.864	124.438	151.977	192.999	142.375	136.462	109.326	99.2125	169.665	163.293	185.564	124.319	106.451	163.369	133.458	154.35	132.386	127.801	67.1019	73.4182	24.6149	105.865
ICMT	822.5899667	956.1718	1057.469	1061.150267	950.8625667	849.3725333	953.611	1003.8438	989.9558333	822.3823	763.185	637.3052	1013.9604	941.7736	1037.8217	873.5351333	1152.171033	448.4927	1195.394133	1007.782667	677.8279	620.0613	929.9353333	754.7081	942.3306	1076.2602
